320,180
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
5,0.40564,0.00201507
5,0.410028,0.00640286
5,0.414416,0.0107906
5,0.418803,0.0151784
5,0.423191,0.019566
5,0.427579,0.0239537
5,0.431967,0.0283415
5,0.436354,0.0327293
5,0.440742,0.037117
5,0.44513,0.0415048
5,0.449518,0.0458924
5,0.453905,0.0502802
5,0.458293,0.0546679
5,0.462681,0.0590558
5,0.467069,0.0634434
5,0.471456,0.0678311
5,0.475844,0.072219
5,0.480232,0.0766065
5,0.484619,0.0809943
5,0.489007,0.0853821
5,0.493395,0.0897698
5,0.497783,0.0941576
5,0.50217,0.0985453
5,0.506558,0.102933
5,0.510946,0.107321
5,0.515334,0.111709
5,0.519721,0.116096
5,0.524109,0.120484
5,0.528497,0.124872
5,0.532885,0.12926
5,0.537272,0.133647
5,0.54166,0.138035
5,0.546048,0.142423
5,0.550436,0.14681
5,0.554823,0.151198
5,0.559211,0.155586
5,0.563599,0.159974
5,0.567986,0.164361
5,0.572374,0.168749
5,0.576762,0.173137
5,0.58115,0.177525
5,0.585538,0.181912
5,0.589925,0.1863
5,0.594313,0.190688
5,0.598701,0.195076
5,0.603088,0.199463
5,0.607476,0.203851
5,0.611864,0.208239
5,0.616252,0.212627
5,0.62064,0.217014
5,0.625027,0.221402
5,0.629415,0.22579
5,0.633803,0.230177
5,0.63819,0.234565
5,0.642578,0.238953
5,0.646966,0.243341
5,0.651354,0.247728
5,0.655741,0.252116
5,0.660129,0.256504
5,0.664517,0.260892
5,0.668905,0.265279
5,0.673292,0.269667
5,0.67768,0.274055
5,0.682068,0.278443
5,0.686456,0.28283
5,0.690843,0.287218
5,0.695231,0.291606
5,0.699619,0.295994
11,0.699619,0.00438776
11,0.695231,0.0131632
11,0.690843,0.0219387
11,0.686455,0.0307141
11,0.682068,0.0394896
11,0.67768,0.0482652
11,0.673292,0.0570406
11,0.668905,0.0658161
11,0.664517,0.0745915
11,0.660129,0.083367
11,0.655741,0.0921425
11,0.651354,0.100918
11,0.646966,0.109693
11,0.642578,0.118469
11,0.63819,0.127244
11,0.633803,0.13602
11,0.629415,0.144795
11,0.625027,0.153571
11,0.620639,0.162346
11,0.616252,0.171122
11,0.611864,0.179897
11,0.607476,0.188673
11,0.603088,0.197448
11,0.598701,0.206224
11,0.594313,0.214999
11,0.589925,0.223775
11,0.585538,0.23255
11,0.58115,0.241326
11,0.576762,0.250101
11,0.572374,0.258877
11,0.567986,0.267652
11,0.563599,0.276428
11,0.559211,0.285203
11,0.554823,0.293978
11,0.550436,0.302754
11,0.546048,0.31153
11,0.54166,0.320305
11,0.537272,0.32908
11,0.532885,0.337856
11,0.528497,0.346631
11,0.524109,0.355407
11,0.519721,0.364182
11,0.515334,0.372958
11,0.510946,0.381733
11,0.506558,0.390509
11,0.50217,0.399284
11,0.497783,0.40806
11,0.493395,0.416835
11,0.489007,0.425611
11,0.484619,0.434386
11,0.480232,0.443162
11,0.475844,0.451937
11,0.471456,0.460713
11,0.467068,0.469488
11,0.462681,0.478264
11,0.458293,0.487039
11,0.453905,0.495815
11,0.449518,0.50459
11,0.44513,0.513366
11,0.440742,0.522141
11,0.436354,0.530917
11,0.431967,0.539692
11,0.427579,0.548467
11,0.423191,0.557243
11,0.418803,0.566018
11,0.414416,0.574794
11,0.410028,0.583569
11,0.40564,0.592345
